mri_subjects,subjects,fieldmap1,fieldmap2,t1_1,t1_2,rsa1_1,rsa2_1,rsa3_1,rsa4_1,rsa1_2,rsa2_2,rsa3_2,rsa4_2,loc-letters1,loc-colors1,loc-letters2,loc-colors2,consistency1,iconic_memory1,consistency2,iconic_memory2
2,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,107,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,211,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
23,112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
56,129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,229,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1