letter,position,ISI
0,0,0.0
0,0,0.25
0,0,0.5
0,45,0.0
0,45,0.25
0,45,0.5
0,90,0.0
0,90,0.25
0,90,0.5
0,135,0.0
0,135,0.25
0,135,0.5
0,180,0.0
0,180,0.25
0,180,0.5
0,225,0.0
0,225,0.25
0,225,0.5
0,270,0.0
0,270,0.25
0,270,0.5
0,315,0.0
0,315,0.25
0,315,0.5
1,0,0.0
1,0,0.25
1,0,0.5
1,45,0.0
1,45,0.25
1,45,0.5
1,90,0.0
1,90,0.25
1,90,0.5
1,135,0.0
1,135,0.25
1,135,0.5
1,180,0.0
1,180,0.25
1,180,0.5
1,225,0.0
1,225,0.25
1,225,0.5
1,270,0.0
1,270,0.25
1,270,0.5
1,315,0.0
1,315,0.25
1,315,0.5
2,0,0.0
2,0,0.25
2,0,0.5
2,45,0.0
2,45,0.25
2,45,0.5
2,90,0.0
2,90,0.25
2,90,0.5
2,135,0.0
2,135,0.25
2,135,0.5
2,180,0.0
2,180,0.25
2,180,0.5
2,225,0.0
2,225,0.25
2,225,0.5
2,270,0.0
2,270,0.25
2,270,0.5
2,315,0.0
2,315,0.25
2,315,0.5
3,0,0.0
3,0,0.25
3,0,0.5
3,45,0.0
3,45,0.25
3,45,0.5
3,90,0.0
3,90,0.25
3,90,0.5
3,135,0.0
3,135,0.25
3,135,0.5
3,180,0.0
3,180,0.25
3,180,0.5
3,225,0.0
3,225,0.25
3,225,0.5
3,270,0.0
3,270,0.25
3,270,0.5
3,315,0.0
3,315,0.25
3,315,0.5
4,0,0.0
4,0,0.25
4,0,0.5
4,45,0.0
4,45,0.25
4,45,0.5
4,90,0.0
4,90,0.25
4,90,0.5
4,135,0.0
4,135,0.25
4,135,0.5
4,180,0.0
4,180,0.25
4,180,0.5
4,225,0.0
4,225,0.25
4,225,0.5
4,270,0.0
4,270,0.25
4,270,0.5
4,315,0.0
4,315,0.25
4,315,0.5
5,0,0.0
5,0,0.25
5,0,0.5
5,45,0.0
5,45,0.25
5,45,0.5
5,90,0.0
5,90,0.25
5,90,0.5
5,135,0.0
5,135,0.25
5,135,0.5
5,180,0.0
5,180,0.25
5,180,0.5
5,225,0.0
5,225,0.25
5,225,0.5
5,270,0.0
5,270,0.25
5,270,0.5
5,315,0.0
5,315,0.25
5,315,0.5
6,0,0.0
6,0,0.25
6,0,0.5
6,45,0.0
6,45,0.25
6,45,0.5
6,90,0.0
6,90,0.25
6,90,0.5
6,135,0.0
6,135,0.25
6,135,0.5
6,180,0.0
6,180,0.25
6,180,0.5
6,225,0.0
6,225,0.25
6,225,0.5
6,270,0.0
6,270,0.25
6,270,0.5
6,315,0.0
6,315,0.25
6,315,0.5
7,0,0.0
7,0,0.25
7,0,0.5
7,45,0.0
7,45,0.25
7,45,0.5
7,90,0.0
7,90,0.25
7,90,0.5
7,135,0.0
7,135,0.25
7,135,0.5
7,180,0.0
7,180,0.25
7,180,0.5
7,225,0.0
7,225,0.25
7,225,0.5
7,270,0.0
7,270,0.25
7,270,0.5
7,315,0.0
7,315,0.25
7,315,0.5